fact_checked_segment,comment_by_fact-checker,article,label_str_raw
"“climate economists see a positive externality, not a negative one, from the human influence on climate. (In technical lingo, the so-called social cost of carbon would be negative.)”","This is cherry-picking at its worst. You can always find an economist who will make enough assumptions so that he or she can give you the answer you want. In this case (references the social cost of carbon), you can get a benefit ONLY if you assume a very high discount rate (like 5% so that future generations do not matter), and you ignore equity issues, and you assume that warmer climates in the crop-intensive areas will not include an increase in the intensity and/or frequency of intense weather (drought, floods, etc….), and you do not recognize that warmer temperatures mean more pests and more weeds. see the Summary for Policymakers of the Report of Working Group II to the fourth assessment of the IPCC",article36.txt,Cherry Picking
The latest U.N. science compendium asserts that the latter half-degree is at least half manmade.,"The recent US National Climate Assessment1 finds that it is extremely likely that more than half of the temperature rise since 1951 is human-caused, and the likely human contribution is 93% to 123%. More than 100% means that the human caused warming would be higher, except that other unrelated changes caused cooling that partially offset the warming. 1- Fourth National Climate Assessment (2018) Part 1, Chapter 3",article130.txt,Cherry Picking
"“‘If we are right, our study challenges decades of paleoclimate research,” said Anders Meibom, the head of EPFL’s Laboratory for Biological Geochemistry and a professor at the University of Lausanne.”","It only potentially challenges ONE method used to reconstruct past temperatures. Other methods and observations based on biomarkers, pollen, large fossils support a much warmer ocean at this time.",,Cherry Picking
“a killer analysis conducted by Craig Idso of all the studies which have been done on the effects of reduced pH levels on marine life.”,"This publication is not peer-reviewed, cherry-picks articles and does not involve proper statistical testing. It does not, therefore, qualify as a “killer analysis”! The comprehensive metanalysis that was performed by Kroeker et al. (2013) revealed decreased survival, calcification, growth, development and abundance in response to acidification when the broad range of marine organisms is pooled together. However, the magnitude of these responses varies among taxonomic groups. Kroeker et al (2013) Impacts of ocean acidification on marine organisms: quantifying sensitivities and interaction with warming. Global Change Biology. ",article45.txt,Cherry Picking
"“Next year or the year after that, I think it will be free of ice in summer and by that I mean the central Arctic will be ice-free. You will be able to cross over the north pole by ship. There will still be about a million square kilometres of ice in the Arctic in summer but it will be packed into various nooks and crannies”",I would also add that predictions of an ice-free Arctic (also defined as ~1 million square kilometers of remaining ice) are shown to be subject to quite a bit of uncertainty stemming from natural variability – on the order of about two decades.,article33.txt,Cherry Picking
"“Research shows that this process is overpowering the erosion from sea-level rise, leading to net land-area gain. This is not only true for the Marshall Islands. […]several studies have documented noteworthy shoreline progradation [growth] and positional changes of islands since the mid-20th century, resulting in a net increase in island area.”","The dynamics of sand accretion and loss across the tropical Pacific is indeed complicated, and many atolls are at the moment growing. However, as sea levels rise in this area of the globe, water tables also rise and become salinated, reducing the availability of fresh water for drinking or agriculture. Focusing on the tropical Pacific takes attention away from regions where the signal is much clearer, e.g. the east coast of the USA. The occurrence of “nuisance flooding” and coastal inundation has risen dramatically in recent decades. Another 50-100 centimeters of sea level rise globally threatens vast swaths of built infrastructure and hundreds of millions of lives. Whether or not Pacific atolls accrete or shrink is not the most central issue. ",,Cherry Picking
"“[The West Antarctic Ice Sheet] is known to be losing ice rapidly because it is being melted from below by warm ocean waters, a process that is rendering its largest glaciers unstable.”","This is accurate but doesn’t fully explain that the warm ocean water is not a result of human-caused climate change and it is not a linear warming of Southern Ocean waters that causes melt beneath West Antarctic ice shelves. Rather, it is variability in the delivery of this relatively warm water (called Circumpolar Deep Water) that can directly affect how much melt is happening. Delivery of this water is altered by the direction and strength of winds over the Amundsen Sea, a subset of the Pacific sector of the Southern Ocean. If winds blow from west to east across the Amundsen Sea, they promote upwelling of this deep water under ice shelves, promoting melt and hence increasing ice loss*. Steig et al (2012) Tropical forcing of Circumpolar Deep Water Inflow and outlet glacier thinning in the Amundsen Sea Embayment, West Antarctica, Annals of Glaciology ",article102.txt,Cherry Picking
"“Even if we meet the Paris goals of two degrees warming, cities like Karachi and Kolkata will become close to uninhabitable, annually encountering deadly heat waves like those that crippled them in 2015. At four degrees, the deadly European heat wave of 2003, which killed as many as 2,000 people a day, will be a normal summer. At six[…] summer labor of any kind would become impossible in the lower Mississippi Valley, and everybody in the country east of the Rockies would be under more heat stress than anyone, anywhere, in the world today[…].”","The article highlights worst case projections of the intensity of heatwaves, but not of their frequency. Projections indicate return periods of high-mortality heatwaves will shorten over the century and, in some cases, the length of these high-mortality heatwaves will increase.  That does not mean these events will occur every day during a summer. In many regions, this means a high-mortality heatwave could occur could approach becoming an annual event instead of rarely. Further, the projections do not take into account that increased heat-related hazards are only one factor that influences future risks. The other factors are the extent of exposure, the vulnerability of the exposed population, and the capacity of individuals and communities to prepare for and manage heatwaves. There is growing literature that sensitivity to heatwaves has declined over recent decades, presumably because of some degree of acclimatization to ever higher temperatures, increasing access to air conditioning and cooling centers, better understanding and communication of the risks of high ambient temperatures, and changing infrastructure to reduce urban heat islands.  Recent projections using different approaches that take these changes into account show that taking these factors into account decreases the magnitude of risks. ",,Cherry Picking
“Those who seek to help should keep the bigger picture in mind.”,"Exactly Mr Lomborg. That’s why focusing on a small component of the story, in an area where many competing forces mask the underlying signal, is such a narrow approach. If one looks at the big picture of climate change, the loss of ice and snow, the increasing high temperature extremes, the already-apparent effects of sea level rise around the globe, the urgency of the problem becomes crystal-clear.",article38.txt,Cherry Picking
"“Earlier this month, NASA scientists provided a visualization of a startling climate change trend — the Earth is getting greener, as viewed from space, especially in its rapidly warming northern regions. And this is presumably occurring as more carbon dioxide in the air, along with warmer temperatures and longer growing seasons, makes plants very, very happy.”","The point in the second sentence may be true for areas where longer growing seasons and warmer temperatures do increase productivity, but it is likely false for vast other regions of the world where lack of moisture will outweigh positive impacts of global change on growth. So this sentence right off the bat gives a bit of a misrepresentation by being worded in a way that can be construed as applying globally not just in the far north. Also there is nothing “startling” about this trend – it is exactly as hypothesized for such regions.",article28.txt,Cherry Picking
